"Abcg2"	"Bmi1"	"Cd34"	"Cd44"	"Ctnnb1"	"Epas1"	"Ezh2"	"Hif1a"	"Kdm5b"	"Klf4"	"Lgr5"	"Myc"	"Nanog"	"Nes"	"Notch1"	"Pou5f1"	"Prom1"	"Sox2"	"Twist1"	"Zfp42"	"Zscan4c"
"X1700021A07Rik"	-0.05	-0.13	-0.35	0.01	-0.22	-0.38	-0.15	-0.4	-0.14	0.18	-0.33	-0.4	0.41	0.07	0.28	-0.1	0.23	0.29	-0.27	0.38	-0.05
"X1700021F05Rik"	0.03	-0.29	-0.18	-0.15	-0.07	-0.33	0.29	0.08	0.07	-0.24	-0.06	-0.22	0.01	-0.05	-0.31	0.21	0.39	-0.06	-0.25	-0.13	-0.34
"X1700022I11Rik"	-0.21	0.07	0.07	0.27	0.14	-0.03	-0.04	-0.11	-0.25	0.06	-0.06	0.05	0.01	-0.05	0.13	0.11	0.05	-0.11	-0.04	-0.01	-0.06
"X1700022N22Rik"	0.16	-0.04	0.16	0	0.06	0.21	0.18	0.16	0.04	-0.23	0.18	0.27	-0.24	-0.11	-0.27	0.07	-0.06	-0.17	0.08	-0.23	0.03
"X1700023F06Rik"	0.09	0.16	0.25	0.02	0.03	0.34	0.21	0.24	0.06	-0.21	0.18	0.32	-0.31	0.03	-0.29	-0.15	-0.25	-0.29	0.35	-0.31	0.36
"X1700025G04Rik"	-0.04	0.02	-0.27	-0.04	-0.35	-0.59	-0.46	-0.4	0.16	0.42	-0.22	-0.65	0.61	0.26	0.38	-0.2	0.37	0.5	-0.04	0.5	0.12
"X1700027J19Rik"	0.07	-0.24	-0.51	0.1	-0.27	-0.75	-0.55	-0.76	-0.04	0.59	-0.46	-0.75	0.84	0.01	0.39	-0.04	0.38	0.68	-0.38	0.7	-0.12
"X1700028I16Rik"	0.21	-0.06	-0.02	0	-0.17	0.16	-0.18	-0.33	-0.14	0.19	-0.06	0.11	0.18	-0.11	-0.03	-0.28	-0.08	0.17	0.13	0.14	0.15
"X1700028J19Rik"	-0.02	-0.01	0	0.05	0.02	-0.01	-0.06	0.01	0.07	0.09	0.03	0.04	0.03	-0.06	0.05	0.08	0.01	-0.03	-0.04	-0.01	-0.03
"X1700029I15Rik"	-0.09	-0.04	-0.12	0.18	-0.04	-0.25	-0.18	-0.31	-0.3	0.26	-0.16	-0.24	0.24	-0.05	0.12	-0.02	0.18	0.25	-0.09	0.28	-0.07
"X1700029M20Rik"	0.05	-0.09	0.05	-0.15	0	0.49	0.2	0.08	-0.07	-0.18	0.05	0.4	-0.3	-0.05	-0.11	-0.09	-0.22	-0.2	0.02	-0.24	0.01
"X1700029P11Rik"	0.03	-0.06	0.47	-0.14	0.41	0.83	0.31	0.58	0.3	-0.5	0.47	0.86	-0.7	-0.16	-0.46	0.32	-0.37	-0.54	0.27	-0.59	0.13
"X1700030J22Rik"	-0.01	-0.14	-0.42	0.13	-0.32	-0.53	-0.45	-0.55	-0.19	0.64	-0.37	-0.63	0.7	0.16	0.67	-0.15	0.19	0.64	-0.31	0.74	-0.1
"X1700030K09Rik"	0.05	0.05	-0.24	-0.18	-0.23	-0.16	0.39	0.23	-0.06	-0.28	-0.2	-0.02	-0.06	-0.02	0.04	0.11	-0.05	-0.2	-0.25	0.08	-0.13
"X1700037C18Rik"	-0.05	0.13	0.35	-0.05	0.29	0.51	0.44	0.46	-0.02	-0.53	0.32	0.56	-0.64	-0.03	-0.33	0.12	-0.19	-0.57	0.15	-0.54	0
"X1700037H04Rik"	0.13	0.06	0.04	-0.18	-0.12	0	-0.18	-0.28	-0.02	0.2	0.02	-0.01	0.2	0.3	0.1	-0.12	0.17	0.01	0.31	0.14	0.27
"X1700048O20Rik"	-0.32	0.31	0.44	0.27	0.23	0.2	0.11	0.08	-0.35	-0.12	0.1	0.16	-0.3	0.14	-0.11	-0.26	0.15	-0.27	0.4	-0.31	0.36
"X1700056E22Rik"	-0.03	0.26	0.35	-0.05	0.13	0.29	0.16	0.28	0.08	-0.24	0.34	0.34	-0.32	0.09	-0.3	0.05	-0.1	-0.4	0.44	-0.32	0.2
"X1700056N10Rik"	-0.16	0.11	0.11	0.39	0.14	0.04	-0.14	-0.1	-0.12	0.1	0.03	0	-0.06	-0.08	0.09	-0.12	-0.11	0.07	0.02	-0.01	0.02
"X1700057H21Rik"	0.02	0	-0.14	0.01	0.15	-0.13	-0.11	-0.15	0.03	0.2	-0.14	-0.19	0.12	0.25	0.12	0.09	0.06	0.29	-0.17	0.21	0.03
"X1700061G19Rik"	-0.1	-0.15	-0.34	-0.06	-0.09	-0.13	-0.29	-0.27	-0.13	0.36	-0.24	-0.19	0.24	-0.19	0.51	-0.03	-0.16	0.31	-0.39	0.32	-0.24
"X1700063H04Rik"	0.11	0.07	0.37	-0.19	0.29	0.73	0.59	0.65	0.16	-0.64	0.43	0.73	-0.76	-0.21	-0.49	0.3	-0.32	-0.52	0.14	-0.58	-0.1
"X1700066B19Rik"	-0.14	-0.06	-0.19	0.55	-0.02	-0.54	-0.38	-0.57	-0.4	0.5	-0.3	-0.52	0.5	-0.02	0.34	-0.04	0.31	0.48	-0.18	0.51	0
"X1700066M21Rik"	0.18	-0.19	-0.61	0	-0.42	-0.59	-0.5	-0.61	-0.12	0.74	-0.51	-0.7	0.84	0.03	0.61	-0.31	0.1	0.78	-0.37	0.75	-0.17
"X1700067K01Rik"	0.18	0.07	-0.03	-0.05	-0.38	0.04	0.2	-0.06	-0.18	0.03	0.01	0.01	0.08	0.07	-0.04	-0.33	0.01	-0.03	0.15	0.11	0.14
"X1700086O06Rik"	0	0.17	0.23	-0.14	0.06	0.27	0.39	0.4	-0.03	-0.39	0.15	0.36	-0.41	-0.01	-0.35	0.15	-0.05	-0.39	0.16	-0.36	-0.03
"X1700086P04Rik"	0.17	0.1	0.26	-0.08	0.04	0.47	0.5	0.56	0.12	-0.48	0.28	0.5	-0.55	-0.07	-0.43	0.01	-0.26	-0.47	0.18	-0.49	0.03
"X1700088E04Rik"	-0.1	0.07	0.09	0.34	0.06	-0.15	-0.36	-0.33	-0.35	0.45	-0.01	-0.17	0.25	-0.05	0.21	-0.11	0.07	0.23	0.17	0.21	0.11
"X1700092M07Rik"	-0.07	0.07	0.18	-0.02	0.13	0.21	0.1	0.2	-0.02	-0.19	0.12	0.29	-0.27	-0.02	-0.23	0.04	-0.08	-0.27	0.21	-0.28	0.1
"X1700096K18Rik"	0.34	0.03	-0.17	-0.01	-0.28	0.09	-0.11	-0.25	-0.06	0.38	-0.09	-0.06	0.33	0	0.17	-0.38	-0.23	0.34	0.05	0.3	0.07
"X1700102P08Rik"	0.23	-0.25	-0.53	-0.11	-0.37	-0.44	-0.06	-0.39	-0.13	0.3	-0.44	-0.46	0.54	0.08	0.29	-0.03	0.17	0.41	-0.52	0.54	-0.38
"X1700109H08Rik"	-0.14	0.11	-0.01	0.57	0.08	-0.22	-0.41	-0.36	-0.18	0.4	-0.11	-0.23	0.26	-0.03	0.32	-0.24	-0.01	0.28	-0.02	0.2	0.09
"X1700123O20Rik"	-0.24	0.13	-0.03	0.3	0.1	-0.52	-0.05	-0.29	-0.26	0.2	-0.18	-0.45	0.32	0.08	0.07	0.14	0.39	0.13	-0.1	0.26	-0.09
"X1810009A15Rik"	0.11	-0.09	0.02	-0.2	-0.15	0.24	0.13	0.24	0.09	-0.25	0.19	0.25	-0.23	-0.17	-0.1	0	-0.11	-0.13	-0.09	-0.16	-0.15
"X1810010H24Rik"	0.12	0.11	0.16	-0.11	0.09	0.55	0.04	0.07	0	-0.11	0.14	0.42	-0.28	-0.01	-0.07	-0.08	-0.3	-0.13	0.17	-0.09	0.16
"X1810011O10Rik"	-0.01	0.19	0.19	0.29	0.24	0.09	-0.17	-0.08	-0.02	0.12	0.14	0.03	-0.02	-0.04	-0.03	-0.01	-0.15	0.07	0.11	0.04	0.19
"X1810013L24Rik"	0.35	-0.17	-0.03	-0.25	0.04	0.6	0.19	0.36	0.36	-0.24	0.17	0.52	-0.34	-0.28	-0.19	0.14	-0.52	-0.1	-0.15	-0.21	-0.2
"X1810014B01Rik"	-0.1	-0.18	0	0.06	0.22	-0.18	0.17	-0.03	-0.14	-0.18	-0.06	-0.01	-0.08	-0.12	-0.18	0.43	0.33	-0.17	-0.22	-0.12	-0.26
"X1810020O05Rik"	0.16	-0.15	-0.21	-0.11	-0.25	0.18	-0.05	-0.22	-0.04	0.18	-0.14	0.06	0.11	-0.02	0.08	-0.32	-0.3	0.11	-0.1	0.04	-0.03
"X1810022K09Rik"	0.36	0.19	-0.14	-0.07	-0.44	-0.06	0.29	0.16	-0.06	-0.02	-0.11	-0.09	0.12	-0.06	-0.17	-0.45	-0.07	0.17	0.05	0.03	-0.09
"X1810024B03Rik"	0.1	0.06	0.17	0.06	0.08	0.22	0.22	0.39	0.04	-0.3	0.18	0.34	-0.32	-0.2	-0.29	0.09	-0.21	-0.32	0.05	-0.28	-0.13
"X1810026J23Rik"	-0.09	-0.26	-0.33	0.02	0.07	-0.31	-0.38	-0.4	-0.23	0.3	-0.27	-0.22	0.33	-0.21	0.31	0.19	0.13	0.33	-0.38	0.41	-0.27
"X1810030O07Rik"	0.04	-0.34	-0.56	0.09	-0.26	-0.59	-0.44	-0.55	-0.1	0.55	-0.46	-0.64	0.72	-0.12	0.46	-0.08	0.18	0.65	-0.56	0.67	-0.28
"X1810032O08Rik"	-0.01	-0.08	-0.13	-0.02	-0.13	0.06	-0.03	-0.2	-0.07	0.02	-0.09	0.04	-0.01	-0.07	0.04	-0.14	-0.11	0	-0.13	0	-0.07
"X1810037I17Rik"	0.24	-0.18	-0.44	-0.15	-0.27	-0.43	0.2	-0.15	0.05	0.07	-0.36	-0.44	0.38	-0.13	0.05	0.04	0.17	0.45	-0.46	0.34	-0.4
"X1810041L15Rik"	-0.35	0.5	0.54	0.35	0.21	-0.02	-0.12	0.01	-0.22	0.08	0.5	-0.03	-0.15	0.41	-0.08	-0.2	0.17	-0.26	0.61	-0.24	0.37
"X1810043G02Rik"	-0.04	-0.1	-0.39	0.21	-0.15	-0.58	-0.51	-0.67	-0.21	0.71	-0.34	-0.61	0.71	0.05	0.62	-0.12	0.23	0.61	-0.27	0.63	-0.16
"X1810044D09Rik"	0.19	0.08	0.08	-0.05	-0.1	0.04	0.21	0.06	-0.13	-0.08	0.11	0.05	-0.05	0.09	-0.09	-0.04	0.09	-0.06	0.1	-0.07	-0.05
"X1810049J17Rik"	-0.01	-0.09	-0.04	0.05	0.06	-0.05	0.03	-0.03	-0.02	-0.06	-0.05	-0.03	-0.03	-0.13	-0.12	0.17	-0.07	0.13	-0.12	0.06	-0.09
"X1810055G02Rik"	0.14	-0.34	-0.17	-0.48	0.04	0.3	0.02	0.11	0.39	-0.15	0.04	0.39	-0.16	-0.1	-0.04	0.23	-0.3	-0.27	-0.2	-0.18	-0.17
"X1810058I24Rik"	0.11	-0.15	-0.5	0.21	-0.32	-0.73	-0.35	-0.71	-0.26	0.64	-0.49	-0.74	0.84	0.06	0.48	-0.16	0.37	0.68	-0.35	0.74	-0.15
"X2010015M23Rik"	0.03	0.17	0.09	0.14	-0.11	0.2	0.16	0.18	-0.07	-0.04	0.07	0.13	-0.14	-0.11	-0.11	-0.28	-0.25	0.03	0.12	-0.11	0.01
"X2010107E04Rik"	0.24	-0.03	-0.5	0.07	-0.47	-0.65	-0.14	-0.46	-0.18	0.39	-0.41	-0.66	0.71	0.07	0.28	-0.27	0.35	0.52	-0.32	0.6	-0.2
"X2010107G23Rik"	0.24	-0.13	-0.39	0	-0.46	-0.54	-0.13	-0.51	-0.11	0.37	-0.32	-0.56	0.64	0.05	0.09	-0.25	0.36	0.46	-0.17	0.46	-0.06
"X2010110K18Rik"	0.13	-0.03	-0.34	0.05	-0.38	-0.38	-0.44	-0.56	-0.15	0.6	-0.24	-0.46	0.64	0.07	0.39	-0.4	0.02	0.55	-0.11	0.55	0.05
