"Abcg2"	"Bmi1"	"Cd34"	"Cd44"	"Ctnnb1"	"Epas1"	"Ezh2"	"Hif1a"	"Kdm5b"	"Klf4"	"Lgr5"	"Myc"	"Nanog"	"Nes"	"Notch1"	"Pou5f1"	"Prom1"	"Sox2"	"Twist1"	"Zfp42"	"Zscan4c"
"Me2"	0.02	0.09	-0.1	-0.18	-0.35	-0.39	0.23	-0.03	-0.05	-0.05	-0.22	-0.32	0.24	0.24	-0.1	-0.17	0.25	0.09	0.08	0.19	0.04
"Mea1"	-0.17	0.01	0.31	0.02	0.37	0.29	0.54	0.49	0.18	-0.58	0.28	0.34	-0.63	-0.06	-0.52	0.37	-0.09	-0.51	0.02	-0.63	-0.1
"Meaf6"	0.04	-0.23	-0.55	0.13	-0.32	-0.78	-0.43	-0.66	-0.16	0.55	-0.5	-0.74	0.8	0.07	0.48	-0.01	0.38	0.66	-0.47	0.78	-0.27
"Mecom"	-0.3	0.56	0.6	0.44	0.13	0.13	-0.16	0	-0.22	-0.01	0.3	0.08	-0.16	0.19	-0.04	-0.25	0.07	-0.18	0.62	-0.15	0.88
"Mecp2"	0.16	-0.24	-0.59	-0.07	-0.35	-0.33	-0.43	-0.59	0	0.54	-0.38	-0.46	0.61	0	0.5	-0.29	-0.04	0.6	-0.44	0.53	-0.27
"Mecr"	-0.14	0.07	0.33	-0.09	0.15	0.31	0.13	0.17	-0.04	-0.39	0.28	0.42	-0.44	-0.07	-0.36	0.2	0.09	-0.46	0.26	-0.39	0.06
"Med1"	0.11	-0.22	-0.21	-0.02	0	0.04	-0.35	-0.23	0.27	0.17	-0.04	0.01	0.17	-0.16	0.27	-0.12	-0.13	0.29	-0.19	0.26	-0.13
"Med10"	-0.22	0.21	0.01	0.3	-0.05	-0.41	0.24	-0.07	-0.48	-0.01	-0.16	-0.36	0.08	0.11	-0.01	-0.03	0.41	0.05	-0.05	0.13	-0.1
"Med11"	-0.18	0.17	0.12	0	0.09	0.01	0.17	0.06	-0.13	-0.17	0.04	0.06	-0.14	0.04	0.01	0.01	0.1	-0.13	0.06	-0.01	-0.07
"Med12"	-0.02	-0.07	-0.11	0.45	0.18	-0.25	-0.41	-0.43	-0.16	0.32	-0.17	-0.2	0.27	-0.11	0.35	0	0.15	0.33	-0.18	0.24	-0.03
"Med12l"	-0.19	0.39	0.05	0.25	-0.29	-0.31	-0.32	-0.39	-0.18	0.39	0.02	-0.4	0.41	0.26	0.28	-0.52	0.09	0.27	0.34	0.32	0.42
"Med13"	0.05	0.17	0.24	-0.05	0.16	0.55	-0.13	0.24	0.33	-0.08	0.25	0.44	-0.28	0.02	0.06	-0.27	-0.42	-0.12	0.25	-0.21	0.24
"Med13l"	0.16	0.04	0.07	-0.14	0	0.52	-0.07	0.17	0.25	0.08	0.08	0.41	-0.1	-0.11	0.1	-0.2	-0.57	-0.07	0.16	-0.11	0.16
"Med14"	-0.01	0.22	0.53	-0.18	0.34	0.83	0.4	0.74	0.15	-0.64	0.44	0.87	-0.84	-0.06	-0.4	0.09	-0.29	-0.71	0.35	-0.73	0.15
"Med15"	-0.23	-0.03	-0.13	0.19	0.08	-0.18	-0.62	-0.53	-0.19	0.52	-0.18	-0.2	0.41	0.02	0.55	-0.17	0	0.27	0.01	0.42	0.2
"Med16"	-0.19	0.1	0.3	-0.14	0.33	0.5	0.04	0.31	0.14	-0.32	0.27	0.58	-0.48	-0.02	-0.07	0.19	-0.31	-0.61	0.18	-0.41	0.09
"Med17"	-0.08	-0.19	-0.33	0.02	0	-0.53	-0.42	-0.52	-0.08	0.36	-0.29	-0.43	0.52	-0.03	0.33	0.16	0.32	0.34	-0.34	0.49	-0.23
"Med18"	0.13	-0.26	-0.26	-0.15	-0.04	-0.08	0.07	0.11	0.03	-0.16	-0.05	0	-0.01	-0.19	0.18	0.29	0.1	0.08	-0.38	0.14	-0.34
"Med19"	0.31	-0.16	-0.53	0.01	-0.51	-0.57	-0.21	-0.47	0.01	0.52	-0.39	-0.62	0.76	-0.03	0.21	-0.23	0.12	0.65	-0.27	0.64	-0.12
"Med20"	-0.03	-0.12	-0.09	-0.01	0.05	0.09	-0.11	-0.18	-0.09	0.08	-0.01	0.07	-0.03	-0.2	0.07	0.03	-0.13	0.06	-0.2	0	-0.18
"Med21"	0.37	0	-0.23	-0.16	-0.43	-0.04	0.32	-0.05	-0.15	0.12	-0.2	-0.12	0.27	0.03	-0.01	-0.28	0.01	0.21	-0.08	0.28	-0.1
"Med22"	-0.11	-0.04	0.18	-0.08	0.34	0.33	0.24	0.33	-0.06	-0.39	0.21	0.43	-0.52	-0.22	-0.33	0.26	-0.2	-0.41	-0.04	-0.47	-0.15
"Med23"	0.01	0.09	-0.03	-0.09	0.13	0.23	-0.04	0.11	0.1	-0.15	-0.03	0.18	-0.17	-0.02	0.35	0.04	-0.09	-0.11	-0.23	-0.01	-0.12
"Med24"	-0.01	-0.27	-0.15	-0.07	0.26	0.06	-0.45	-0.26	0.29	0.23	-0.13	0.04	0.16	-0.04	0.43	0.14	-0.1	0.1	-0.19	0.18	-0.04
"Med25"	0.03	-0.37	-0.29	-0.1	0.09	-0.23	-0.43	-0.32	0.34	0.31	-0.18	-0.17	0.34	-0.02	0.39	0.27	-0.04	0.17	-0.27	0.23	-0.12
"Med26"	-0.16	0.15	-0.18	0.09	-0.27	-0.45	-0.21	-0.28	-0.22	0.28	-0.27	-0.41	0.45	0.29	0.5	-0.06	0.21	0.25	-0.03	0.58	0.2
"Med27"	-0.08	0.02	0.23	-0.2	0.32	0.43	0.38	0.48	0.18	-0.46	0.21	0.52	-0.56	-0.07	-0.3	0.35	-0.27	-0.59	0.01	-0.52	-0.09
"Med28"	-0.15	-0.22	-0.07	-0.31	0.17	-0.06	0.38	0.34	0.2	-0.41	-0.06	0.04	-0.27	-0.01	-0.21	0.39	0.03	-0.27	-0.28	-0.24	-0.31
"Med29"	-0.1	-0.04	0.09	-0.19	0.19	0.15	0.22	0.28	0.05	-0.32	0.09	0.27	-0.3	-0.07	-0.23	0.25	-0.04	-0.32	-0.03	-0.27	-0.21
"Med30"	0.24	0.01	-0.08	-0.27	-0.36	-0.04	0.6	0.36	0.03	-0.38	-0.03	0	-0.12	0.1	-0.36	-0.06	0.15	-0.16	-0.01	-0.17	-0.16
"Med31"	-0.06	0.07	-0.11	0.05	-0.16	-0.4	0.05	-0.2	-0.08	0.15	-0.18	-0.43	0.28	0.09	0.08	-0.19	0.28	0.29	-0.09	0.21	-0.07
"Med4"	-0.08	0.04	0.18	0.08	0.23	-0.13	0.34	0.1	-0.23	-0.25	0.01	-0.04	-0.17	0	-0.32	0.28	0.4	-0.12	-0.01	-0.16	-0.16
"Med6"	-0.03	-0.02	-0.05	-0.09	0.07	-0.21	0.45	0.28	-0.08	-0.37	-0.12	-0.09	-0.13	0.01	-0.29	0.24	0.3	-0.16	-0.21	-0.06	-0.26
"Med7"	0.18	-0.2	-0.02	-0.2	0.11	0.13	0.5	0.46	0.2	-0.48	0.09	0.2	-0.4	-0.16	-0.49	0.26	-0.03	-0.2	-0.2	-0.38	-0.36
"Med8"	0	-0.12	0.14	-0.18	0.16	0.18	0.63	0.57	0.07	-0.64	0.2	0.34	-0.54	-0.15	-0.51	0.46	0.07	-0.53	-0.17	-0.49	-0.37
"Med9"	-0.02	-0.12	-0.28	0.01	-0.08	-0.49	-0.25	-0.52	-0.08	0.31	-0.26	-0.46	0.46	0.2	0.24	0.03	0.31	0.33	-0.18	0.45	-0.14
"Mef2a"	-0.06	0.42	0.14	0.24	-0.22	-0.02	-0.28	-0.18	-0.24	0.39	-0.01	-0.22	0.28	0.31	0.27	-0.57	-0.01	0.34	0.4	0.26	0.37
"Mef2c"	0.02	0.21	0.43	0.1	-0.01	-0.04	-0.2	-0.12	-0.17	-0.05	0.24	0.07	-0.01	0.03	-0.17	-0.06	0.51	0.02	0.44	-0.01	0.31
"Mef2d"	-0.06	0.22	0.13	0.14	0.15	-0.04	-0.4	-0.29	0.24	0.26	0.12	-0.14	0.18	0.36	0.26	-0.03	0.06	0.13	0.26	0.15	0.45
"Meg3"	-0.16	0.2	0.3	0.12	0.35	0.33	0.36	0.57	0.04	-0.51	0.35	0.42	-0.65	0.02	-0.27	0.23	-0.18	-0.59	0.1	-0.59	-0.07
"Megf11"	-0.11	0	0.08	-0.04	0	0.19	-0.36	-0.25	0.05	0.3	0.03	0.07	0.19	0.07	0.06	-0.21	-0.24	0.03	0.3	0.18	0.37
"Megf6"	-0.08	0.32	0.63	-0.07	0.33	0.63	0.45	0.68	0.13	-0.62	0.49	0.7	-0.81	0	-0.53	0.06	-0.18	-0.76	0.56	-0.8	0.33
"Megf8"	0.05	-0.22	-0.13	0.05	0.11	-0.06	-0.45	-0.35	0.14	0.3	-0.02	0.01	0.23	-0.08	0.22	-0.02	-0.14	-0.02	0	0.05	0.08
"Megf9"	0.08	0.13	-0.2	0.19	-0.16	-0.49	-0.54	-0.48	-0.14	0.61	-0.24	-0.5	0.6	0.02	0.45	-0.26	0.18	0.54	0.01	0.47	0.05
"Mei1"	0.1	0.08	0.41	-0.09	0.09	0.51	0.14	0.28	0.19	-0.31	0.42	0.55	-0.46	0	-0.38	-0.06	-0.15	-0.41	0.47	-0.49	0.34
"Mei4"	0.14	-0.06	0.05	0.07	-0.15	-0.18	0.13	0.01	-0.03	-0.05	0.12	-0.11	0.05	-0.12	-0.28	0.02	0.29	0.06	0.05	-0.13	-0.11
"Meiob"	0.37	0.04	0.03	-0.19	-0.02	0.41	0.33	0.36	0.27	-0.38	0.14	0.36	-0.41	-0.15	-0.34	-0.09	-0.34	-0.16	0.16	-0.35	0.05
"Meioc"	0.06	0.22	0.47	-0.1	0.28	0.59	0.37	0.6	0.22	-0.53	0.48	0.61	-0.71	0.06	-0.49	0.03	-0.22	-0.61	0.46	-0.71	0.26
"Meis1"	-0.14	0.51	0.55	0.09	0.1	0.42	-0.13	-0.01	-0.29	0.04	0.27	0.29	-0.18	0.18	0.01	-0.34	0.04	-0.1	0.68	-0.11	0.55
"Meis2"	-0.18	0.32	0.31	0.11	0.27	0.35	-0.12	0.08	-0.08	0	0.24	0.35	-0.19	-0.05	0.04	0.03	-0.17	-0.16	0.28	-0.09	0.18
"Meis3"	-0.31	0.41	0.28	0.32	-0.11	-0.28	-0.32	-0.36	-0.45	0.36	0.14	-0.32	0.26	0.3	0.2	-0.34	0.38	0.15	0.46	0.23	0.39
"Melk"	0.07	0.18	0.07	-0.29	-0.18	0.05	0.64	0.47	0.03	-0.53	0.04	0.09	-0.31	0.25	-0.31	0.03	0.16	-0.37	0.05	-0.19	-0.01
"Memo1"	-0.05	0.12	0.4	-0.2	0.3	0.59	0.77	0.84	0.14	-0.78	0.39	0.66	-0.88	-0.08	-0.59	0.33	-0.26	-0.73	0.15	-0.78	-0.11
"Men1"	-0.26	-0.01	-0.09	0.12	0.03	-0.48	-0.55	-0.5	-0.12	0.51	-0.1	-0.42	0.51	0.1	0.44	0.05	0.33	0.18	0.01	0.41	0.08
"Meox1"	-0.16	0.38	0.54	0	0.11	0.34	-0.08	0.13	-0.16	-0.08	0.21	0.3	-0.21	0.1	-0.11	-0.25	0.07	-0.2	0.63	-0.17	0.6
"Mep1b"	-0.02	-0.09	-0.33	0.07	-0.18	-0.48	-0.61	-0.7	-0.1	0.71	-0.28	-0.5	0.71	0.01	0.33	-0.21	-0.03	0.53	-0.08	0.58	0.03
"Mepce"	-0.14	-0.05	0.39	-0.11	0.56	0.55	0.24	0.57	0.38	-0.53	0.48	0.65	-0.68	-0.22	-0.34	0.53	-0.25	-0.61	0.09	-0.62	-0.05
"Mertk"	-0.27	0.15	0.31	0.13	0.26	0.05	0.02	0.08	-0.2	-0.04	0.05	0.1	-0.23	-0.07	-0.18	-0.13	0.13	-0.28	0.28	-0.42	0.22
"Mesdc1"	0.09	-0.12	-0.32	0.12	-0.16	-0.36	-0.65	-0.69	0.03	0.8	-0.29	-0.46	0.73	0.1	0.48	-0.2	-0.09	0.6	-0.08	0.55	0.1
"Mesdc2"	0.16	-0.37	-0.61	-0.04	-0.29	-0.67	-0.45	-0.76	-0.01	0.69	-0.47	-0.72	0.87	-0.01	0.36	0	0.2	0.72	-0.47	0.73	-0.25
"Mesp2"	0.01	0.13	0.45	-0.1	0.18	0.65	0.2	0.43	0.08	-0.31	0.38	0.62	-0.5	-0.01	-0.26	-0.05	-0.33	-0.4	0.48	-0.44	0.4
"Mest"	-0.1	0.35	0.17	-0.05	-0.02	0.14	0.49	0.55	-0.03	-0.5	0.07	0.22	-0.42	0.09	-0.14	0.12	-0.08	-0.46	0.09	-0.2	0.12
"Met"	-0.24	0.43	0.28	0.3	-0.22	-0.33	-0.26	-0.27	-0.22	0.27	0.22	-0.39	0.25	0.27	0.14	-0.41	0.42	0.11	0.57	0.11	0.39
"Metap1"	0.02	0.15	0.19	-0.3	0.1	0.2	0.57	0.49	0.18	-0.59	0.16	0.3	-0.49	-0.02	-0.32	0.27	-0.02	-0.34	0.01	-0.37	-0.13
"Metap1d"	-0.05	-0.1	-0.29	0.04	-0.15	-0.33	-0.38	-0.28	-0.14	0.28	-0.2	-0.34	0.34	-0.08	0.4	-0.01	0.09	0.44	-0.28	0.4	-0.23
"Metap2"	0.06	-0.03	0.1	-0.2	0.08	0.07	0.58	0.42	0.08	-0.53	0.1	0.15	-0.38	0.06	-0.56	0.35	0.17	-0.2	-0.09	-0.32	-0.23
"Metrn"	0.08	-0.04	0.06	-0.31	0.09	0.37	0.46	0.35	0.1	-0.32	0.09	0.39	-0.39	-0.03	-0.22	0.15	-0.2	-0.49	-0.02	-0.38	-0.13
"Metrnl"	-0.27	0.37	0.72	0.03	0.4	0.59	0.29	0.54	-0.01	-0.5	0.5	0.64	-0.72	-0.05	-0.42	0.04	-0.11	-0.65	0.53	-0.67	0.37
"Mettl1"	0.03	-0.23	-0.3	0.03	0.01	-0.4	-0.18	-0.43	-0.09	0.22	-0.22	-0.32	0.35	-0.06	0.14	0.34	0.26	0.34	-0.41	0.41	-0.29
"Mettl10"	0.16	-0.12	-0.19	-0.12	-0.29	-0.26	0.42	0.1	-0.18	-0.17	-0.19	-0.22	0.04	-0.07	-0.28	-0.05	0.31	0.06	-0.21	-0.06	-0.29
"Mettl13"	-0.26	0.42	0.71	0.27	0.38	0.43	0.24	0.28	-0.19	-0.39	0.46	0.54	-0.61	0.03	-0.35	0.07	0.01	-0.59	0.54	-0.56	0.33
"Mettl14"	0.06	0.07	-0.08	-0.19	-0.05	0.1	0.52	0.28	-0.13	-0.39	-0.04	0.09	-0.29	-0.03	-0.16	0.07	0.04	-0.08	-0.22	-0.16	-0.25
"Mettl15"	0.26	-0.02	-0.22	0.03	-0.29	-0.16	0.09	-0.17	-0.04	0.22	-0.15	-0.29	0.31	0.16	0.03	-0.3	0.07	0.27	-0.04	0.18	0.04
"Mettl16"	0	-0.05	0.32	-0.24	0.32	0.59	0.58	0.62	0.25	-0.73	0.38	0.67	-0.81	-0.15	-0.61	0.26	-0.23	-0.66	0.11	-0.73	-0.11
"Mettl17"	-0.02	-0.32	-0.35	-0.1	-0.07	-0.2	-0.2	-0.29	0.07	0.16	-0.13	-0.17	0.18	-0.18	0.22	0.12	-0.06	0.12	-0.43	0.14	-0.4
"Mettl18"	0.26	-0.33	-0.43	-0.1	-0.19	-0.45	0.11	-0.23	0.01	0.04	-0.35	-0.42	0.34	0.07	-0.02	0.16	0.37	0.3	-0.48	0.31	-0.36
"Mettl2"	-0.02	-0.11	0.05	-0.2	0.2	0.31	0.33	0.24	0.11	-0.47	0.15	0.35	-0.47	-0.12	-0.33	0.19	-0.12	-0.36	-0.12	-0.39	-0.18
"Mettl21a"	-0.19	0.25	0.38	0.01	0.29	0.45	0.53	0.54	-0.15	-0.47	0.18	0.44	-0.68	-0.01	-0.4	-0.06	-0.25	-0.6	0.22	-0.69	0.01
"Mettl21b"	0.04	-0.26	-0.46	0.02	-0.28	-0.43	-0.49	-0.59	-0.1	0.62	-0.35	-0.46	0.65	-0.08	0.53	-0.18	0.09	0.62	-0.33	0.6	-0.17
"Mettl22"	0.08	-0.18	-0.23	-0.16	-0.26	0.12	0.04	-0.16	-0.05	-0.02	-0.13	0.08	-0.02	-0.09	0.04	-0.19	-0.17	-0.05	-0.18	-0.06	-0.09
"Mettl23"	0.05	-0.18	-0.41	0.04	-0.29	-0.32	-0.36	-0.57	-0.12	0.41	-0.33	-0.39	0.46	-0.04	0.36	-0.32	0.06	0.4	-0.26	0.37	-0.09
"Mettl25"	-0.17	-0.04	-0.12	-0.03	0.01	-0.04	0	-0.05	-0.14	-0.11	-0.07	-0.03	-0.08	-0.09	0	-0.01	0.1	-0.08	-0.2	-0.05	-0.19
"Mettl26"	-0.01	-0.18	-0.3	-0.07	-0.22	-0.23	-0.27	-0.39	-0.15	0.37	-0.17	-0.27	0.39	0.05	0.14	-0.19	0.04	0.11	-0.14	0.19	-0.04
"Mettl3"	0.05	-0.01	0.22	-0.24	0.27	0.51	0.64	0.64	0.2	-0.72	0.32	0.55	-0.74	-0.06	-0.45	0.38	-0.21	-0.58	-0.02	-0.62	-0.23
"Mettl4"	0.12	0.15	0.38	-0.07	0.13	0.48	0.62	0.74	0.13	-0.7	0.36	0.54	-0.74	-0.04	-0.54	0.04	-0.08	-0.62	0.23	-0.73	0.04
"Mettl5"	0.23	-0.19	-0.19	-0.25	-0.22	-0.09	0.52	0.2	0	-0.3	-0.17	-0.1	-0.09	0.12	-0.36	0.09	0.2	0.02	-0.21	-0.11	-0.2
"Mettl6"	-0.12	0.05	-0.08	0.43	0.1	-0.4	-0.42	-0.52	-0.43	0.49	-0.19	-0.46	0.43	-0.06	0.22	-0.05	0.24	0.5	-0.08	0.39	-0.07
"Mettl7a1"	-0.13	-0.03	0.33	0.03	0.34	0.43	0.23	0.27	0.04	-0.27	0.21	0.36	-0.49	-0.05	-0.32	0	-0.14	-0.33	0.15	-0.51	-0.01
"Mettl8"	0.08	-0.13	-0.26	-0.03	-0.13	-0.5	-0.1	-0.34	-0.09	0.16	-0.26	-0.45	0.39	0.13	0.05	-0.05	0.51	0.3	-0.11	0.28	-0.09
"Mettl9"	0.14	-0.02	-0.03	-0.2	-0.1	-0.03	0.64	0.41	-0.12	-0.41	-0.04	0.04	-0.29	0.09	-0.38	0.07	0.24	-0.28	-0.06	-0.34	-0.27
"Mex3a"	0.08	-0.05	0.28	-0.28	0.28	0.52	0.56	0.72	0.44	-0.66	0.45	0.63	-0.72	-0.19	-0.55	0.38	-0.24	-0.67	0.08	-0.75	-0.18
"Mex3b"	-0.48	0.11	0.13	0.5	0.11	-0.22	-0.28	-0.16	-0.35	0.33	0.03	-0.2	0.19	-0.01	0.41	-0.04	0.12	0.07	0.1	0.23	0.15
"Mex3c"	0.11	0.25	0.47	-0.04	0.2	0.53	0.46	0.74	0.17	-0.66	0.45	0.58	-0.72	-0.02	-0.51	0.11	-0.12	-0.62	0.39	-0.7	0.08
"Mex3d"	-0.14	0.08	0.37	-0.19	0.29	0.47	0.39	0.68	0.21	-0.55	0.37	0.61	-0.66	-0.06	-0.33	0.32	-0.23	-0.73	0.25	-0.64	-0.02
"Mfap1a"	0.26	-0.2	-0.41	-0.17	-0.25	-0.22	-0.08	-0.22	0.06	0.27	-0.18	-0.29	0.39	-0.13	0.03	-0.11	-0.01	0.53	-0.33	0.36	-0.3
"Mfap1b"	0.14	-0.28	-0.2	-0.14	-0.03	0.03	0.09	0.02	0.17	0.01	-0.07	0.02	0.04	-0.29	-0.24	0.05	-0.17	0.19	-0.25	-0.01	-0.28
"Mfap2"	0.01	0.1	0.49	-0.05	0.28	0.51	0.27	0.52	0.24	-0.47	0.44	0.62	-0.62	-0.05	-0.46	0.14	-0.23	-0.61	0.41	-0.64	0.22
"Mfap3"	-0.16	-0.04	0.1	0.13	0.32	-0.04	-0.46	-0.26	0	0.21	0.08	-0.08	0.08	-0.07	0.2	-0.03	0.18	0.2	0.01	0.06	-0.04
"Mfap3l"	-0.06	0.36	0.5	-0.1	0.29	0.56	0.61	0.83	0.04	-0.69	0.41	0.64	-0.85	0.02	-0.5	0.11	-0.25	-0.76	0.37	-0.78	0.12
"Mfap4"	-0.16	0.3	0.45	0.15	0.3	0.25	0.16	0.32	0.09	-0.35	0.38	0.28	-0.45	0.16	-0.28	0	-0.03	-0.48	0.4	-0.41	0.36
"Mfap5"	-0.05	0.16	0.53	-0.05	0.39	0.64	0.52	0.65	0.24	-0.64	0.46	0.69	-0.81	-0.08	-0.56	0.15	-0.27	-0.74	0.34	-0.78	0.12
"Mff"	-0.03	-0.06	-0.33	0.22	-0.18	-0.61	-0.43	-0.57	-0.3	0.61	-0.41	-0.69	0.69	0.07	0.49	-0.16	0.39	0.68	-0.23	0.62	-0.04
"Mfge8"	-0.05	-0.03	-0.3	0.2	-0.21	-0.5	-0.68	-0.79	-0.12	0.85	-0.29	-0.63	0.82	0.17	0.52	-0.27	0.1	0.67	-0.04	0.69	0.15
"Mfhas1"	-0.16	0.5	0.33	0.29	-0.15	-0.13	-0.26	-0.18	-0.29	0.26	0.25	-0.17	0.18	0.27	0.05	-0.48	0.15	-0.03	0.65	0.05	0.52
"Mfi2"	0.02	0.01	0.06	0.04	-0.09	0.16	-0.24	-0.24	-0.05	0.35	0.01	0.03	0.18	0.08	0.06	-0.26	-0.2	0.14	0.24	0.12	0.33
"Mfn1"	-0.1	-0.08	-0.41	0.08	-0.17	-0.59	-0.44	-0.64	-0.02	0.68	-0.37	-0.66	0.79	0.11	0.47	-0.09	0.16	0.63	-0.23	0.67	-0.03
"Mfn2"	-0.06	0.21	0.44	-0.11	0.37	0.57	0.31	0.53	0.17	-0.6	0.4	0.68	-0.73	-0.02	-0.39	0.27	-0.2	-0.69	0.23	-0.61	0.1
"Mfng"	0.11	0.06	0.31	-0.2	0.07	0.47	0.31	0.38	0.2	-0.41	0.32	0.46	-0.49	0.19	-0.36	-0.05	-0.19	-0.4	0.37	-0.48	0.26
"Mfsd1"	-0.22	0.12	-0.16	0.36	0.02	-0.65	-0.54	-0.62	-0.32	0.59	-0.25	-0.64	0.62	0.1	0.45	-0.07	0.44	0.49	-0.02	0.61	0.07
"Mfsd10"	-0.03	-0.18	-0.38	0.12	-0.14	-0.39	-0.53	-0.57	-0.08	0.5	-0.31	-0.4	0.53	0.01	0.56	-0.05	0.06	0.39	-0.35	0.5	-0.12
"Mfsd11"	-0.04	-0.17	-0.39	0.25	-0.08	-0.55	-0.66	-0.72	-0.22	0.68	-0.33	-0.56	0.68	-0.05	0.55	-0.05	0.19	0.61	-0.32	0.68	-0.15
"Mfsd12"	0.01	-0.16	-0.53	-0.02	-0.36	-0.66	-0.61	-0.77	-0.16	0.67	-0.44	-0.7	0.84	0.05	0.61	-0.22	0.22	0.7	-0.29	0.75	-0.07
"Mfsd13a"	0.1	-0.24	-0.46	0.06	-0.32	-0.58	-0.42	-0.62	-0.12	0.56	-0.36	-0.58	0.68	0.05	0.37	-0.23	0.24	0.43	-0.23	0.47	-0.04
"Mfsd14a"	0.08	-0.08	-0.53	-0.06	-0.46	-0.57	-0.29	-0.51	-0.02	0.5	-0.49	-0.64	0.77	0.11	0.56	-0.25	0.18	0.7	-0.35	0.75	-0.14
"Mfsd14b"	-0.13	0.14	-0.12	0.19	-0.21	-0.31	-0.45	-0.45	-0.39	0.59	-0.3	-0.46	0.56	0.11	0.54	-0.41	0.25	0.56	0.1	0.54	0.23
"Mfsd2a"	-0.23	0.57	0.71	0.06	0.2	0.28	0.23	0.43	-0.1	-0.39	0.4	0.39	-0.53	0.19	-0.38	-0.14	0.15	-0.59	0.72	-0.57	0.49
"Mfsd2b"	-0.24	0.04	-0.2	0.55	-0.09	-0.55	-0.63	-0.7	-0.33	0.74	-0.26	-0.59	0.68	0.05	0.5	-0.29	0.1	0.51	-0.06	0.61	0.12
"Mfsd3"	0.05	-0.09	-0.22	0.12	-0.18	-0.28	-0.36	-0.48	-0.02	0.4	-0.22	-0.3	0.44	0.09	0.27	-0.17	-0.01	0.25	-0.04	0.33	0.14
"Mfsd4a"	0.01	0.15	0.33	0.01	0.01	0.44	0.18	0.2	-0.03	-0.21	0.31	0.37	-0.36	0.02	-0.21	-0.17	-0.16	-0.28	0.39	-0.32	0.34
"Mfsd4b4"	-0.08	0.4	0.4	0.44	0.2	0.21	0.2	0.2	-0.33	-0.09	0.21	0.2	-0.27	0.08	-0.14	-0.16	-0.02	-0.26	0.38	-0.23	0.22
"Mfsd5"	-0.09	0	0.24	-0.2	0.36	0.39	0	0.29	0.14	-0.24	0.24	0.53	-0.34	-0.09	-0.03	0.42	-0.16	-0.44	0.12	-0.21	-0.01
"Mfsd6"	-0.16	0.22	0.19	0.16	-0.16	-0.07	-0.14	-0.1	-0.06	0.27	0.11	-0.19	0.18	0.1	-0.01	-0.43	0.03	0.1	0.42	-0.02	0.35
"Mfsd7a"	-0.1	0.21	0.16	0.24	-0.01	0.14	-0.13	-0.17	-0.28	0.19	0.14	0.08	-0.01	-0.04	0.01	-0.37	-0.12	-0.07	0.32	-0.08	0.19
"Mfsd7b"	-0.14	0.2	0.16	-0.14	0.08	0.28	0.31	0.4	0.02	-0.34	0.15	0.35	-0.46	-0.01	-0.18	0.01	-0.29	-0.44	0.05	-0.47	-0.16
"Mfsd7c"	-0.3	0.18	-0.04	0.65	0.13	-0.46	-0.59	-0.6	-0.39	0.74	-0.14	-0.5	0.54	0.06	0.4	-0.24	0.02	0.39	0.1	0.41	0.16
"Mfsd8"	-0.05	-0.08	-0.04	0.04	0.1	0.2	0.13	0.1	-0.01	-0.05	-0.05	0.14	-0.18	-0.18	0.02	-0.03	-0.26	-0.05	-0.25	-0.18	-0.21
"Mfsd9"	-0.18	0.26	0.28	0.37	0.06	-0.21	-0.16	-0.16	-0.22	0.26	0.18	-0.23	0.07	0.15	0.06	-0.28	0.24	-0.02	0.39	-0.12	0.27
"Mga"	0	-0.05	0.03	-0.25	0.19	0.59	0.22	0.47	0.32	-0.39	0.15	0.51	-0.5	-0.11	0.01	0.15	-0.5	-0.29	-0.18	-0.3	-0.15
"Mgarp"	-0.01	0.12	-0.24	0.09	-0.33	-0.46	-0.38	-0.59	-0.24	0.57	-0.21	-0.52	0.65	0.23	0.35	-0.38	0.26	0.43	0.1	0.53	0.12
"Mgat1"	-0.07	-0.21	-0.29	0.1	0.09	-0.47	-0.47	-0.63	0.01	0.61	-0.24	-0.48	0.6	0.17	0.35	0.1	0.22	0.37	-0.18	0.52	-0.02
"Mgat2"	-0.07	-0.04	-0.21	0.21	0.16	-0.22	-0.26	-0.19	-0.17	0.4	-0.17	-0.22	0.29	-0.17	0.3	0.15	-0.11	0.26	-0.21	0.33	-0.17
"Mgat3"	0.05	-0.37	-0.37	-0.21	-0.11	-0.17	-0.52	-0.48	0.2	0.59	-0.33	-0.28	0.56	0.1	0.35	-0.1	-0.11	0.38	-0.21	0.41	-0.04
"Mgat4a"	0	0.26	0.22	-0.01	-0.15	0.16	-0.35	-0.19	-0.17	0.28	-0.02	0.03	0.2	0.1	0.27	-0.46	0.01	0.23	0.45	0.2	0.48
"Mgat4b"	-0.08	0.09	-0.31	0.19	-0.35	-0.55	-0.46	-0.65	-0.45	0.67	-0.39	-0.62	0.74	0.24	0.57	-0.4	0.3	0.52	-0.02	0.7	0.16
"Mgat4c"	-0.2	0.04	-0.15	0.26	-0.02	-0.4	-0.49	-0.43	-0.2	0.65	-0.17	-0.42	0.55	0.07	0.37	-0.07	0.08	0.31	0.06	0.51	0.08
"Mgat4e"	0.02	-0.33	-0.15	-0.18	0.01	0	-0.06	-0.02	0.47	-0.12	0	0.06	0	0.04	0.04	0.15	-0.11	-0.03	-0.17	0.06	-0.08
